objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
CGMW 3-0252,200626,WISEA J174016.88-015726.9,-99,1.769,GPair
CGMW 3-0291,200665,WISEA J174150.27-111125.1,-99,0.744,GPair
CGMW 3-0317,200689,WISEA J174250.16-094326.1,-99,0.865,GPair
CGMW 3-0346,200718,WISEA J174429.67-025053.3,-99,4.631,GPair
CGMW 3-0525,200888,WISEA J175034.38-015732.8,-99,5.637,GPair
CGMW 3-0632,200988,WISEA J175130.85+065033.6,-99,4.647,GPair
CGMW 3-0694,201048,WISEA J175219.07-000449.2,-99,4.184,GPair
CGMW 3-0817,201167,WISEA J175349.66-074813.5,-99,2.182,GPair
CGMW 3-0932,201271,WISEA J175507.34-014533.4,-99,1.052,GPair
CGMW 3-0939,201276,2MASX J17551478+0345094,-99,3.754,GPair
CGMW 3-1076,201407,WISEA J175738.18-023053.0,-99,5.424,GPair
CGMW 3-1089,201420,6dF J1757464-012406,-99,2.076,GPair
CGMW 3-1427,201738,WISEA J180351.55+055808.6,-99,6.255,GPair
CGMW 3-1509,201818,WISEA J180534.16+072259.0,-99,2.502,GPair
CGMW 3-1519,201828,WISEA J180548.76+022745.9,-99,8.918,GPair
DENIS J180805.0+004503,201920,WISEA J180805.06+004503.6,-99,1.522,GPair
CGMW 3-1647,201954,2MASX J18090446+0123583,-99,8.413,GPair
CGMW 3-1703,202007,WISEA J181004.13+021806.0,-99,7.836,GPair
CGMW 3-1782,202080,WISEA J181121.57+030302.3,-99,2.459,GPair
CGMW 3-1865,202160,WISEA J181249.85+064337.6,-99,5.285,GPair
CGMW 3-1880,202174,WISEA J181311.20+013107.0,-99,10.585,GPair
CGMW 3-2344,202608,WISEA J183427.60+072947.0,-99,11.577,GPair
